"","coords","all","natural","current","threatened","missing"
"14107","15100101.6027778_-1096676.8028169",1,0,1,0,0
"14108","15196587.875_-1096676.8028169",1,0,1,0,0
"14109","15293074.1472222_-1096676.8028169",1,0,1,0,0
"14110","15389560.4194444_-1096676.8028169",1,0,1,0,0
"14111","15486046.6916667_-1096676.8028169",1,0,1,0,0
"14112","15582532.9638889_-1096676.8028169",1,0,1,0,0
"14113","-7574172.36944444_-1193191.76056338",11,10,7,1,1
"14114","-7477686.09722222_-1193191.76056338",16,15,7,1,3
"14115","-7381199.825_-1193191.76056338",24,23,13,5,1
"14116","-7284713.55277778_-1193191.76056338",32,31,16,7,2
"14117","-7188227.28055556_-1193191.76056338",32,31,15,6,3
"14118","-7091741.00833333_-1193191.76056338",28,27,14,6,0
"14119","-6995254.73611111_-1193191.76056338",28,27,14,6,0
"14120","-6898768.46388889_-1193191.76056338",28,27,14,6,0
"14121","-6802282.19166667_-1193191.76056338",28,27,14,6,0
"14122","-6705795.91944444_-1193191.76056338",29,28,14,6,0
"14123","-6609309.64722222_-1193191.76056338",30,29,14,6,0
"14124","-6512823.375_-1193191.76056338",30,29,14,6,0
"14125","-6416337.10277778_-1193191.76056338",32,31,14,6,0
"14126","-6319850.83055556_-1193191.76056338",33,32,14,6,0
"14127","-6223364.55833333_-1193191.76056338",33,32,12,5,2
"14128","-6126878.28611111_-1193191.76056338",33,32,12,5,2
"14129","-6030392.01388889_-1193191.76056338",32,31,12,5,1
"14130","-5933905.74166667_-1193191.76056338",40,39,12,5,2
"14131","-5837419.46944444_-1193191.76056338",40,39,12,5,2
"14132","-5740933.19722222_-1193191.76056338",40,39,12,5,2
"14133","-5644446.925_-1193191.76056338",44,43,12,5,2
"14134","-5547960.65277778_-1193191.76056338",45,44,12,5,3
"14135","-5451474.38055556_-1193191.76056338",47,46,12,5,3
"14136","-5354988.10833333_-1193191.76056338",46,45,12,5,2
"14137","-5258501.83611111_-1193191.76056338",46,45,12,5,2
"14138","-5162015.56388889_-1193191.76056338",46,45,12,5,2
"14139","-5065529.29166667_-1193191.76056338",47,46,12,5,3
"14140","-4969043.01944445_-1193191.76056338",47,46,13,5,3
"14141","-4872556.74722222_-1193191.76056338",47,46,15,6,1
"14142","-4776070.475_-1193191.76056338",47,46,16,6,0
"14143","-4679584.20277778_-1193191.76056338",47,46,14,5,2
"14144","-4583097.93055556_-1193191.76056338",47,46,13,4,2
"14145","-4486611.65833333_-1193191.76056338",46,45,13,5,1
"14146","-4390125.38611111_-1193191.76056338",46,45,12,3,2
"14147","-4293639.11388889_-1193191.76056338",39,38,11,3,2
"14148","-4197152.84166667_-1193191.76056338",38,37,10,3,2
"14149","-4100666.56944444_-1193191.76056338",38,37,10,3,2
"14150","-4004180.29722222_-1193191.76056338",38,37,8,1,4
"14151","-3907694.025_-1193191.76056338",41,40,7,1,6
"14152","-3811207.75277778_-1193191.76056338",40,39,7,1,5
"14153","-3714721.48055555_-1193191.76056338",40,39,7,1,5
"14154","-3618235.20833333_-1193191.76056338",34,33,7,1,4
"14155","-3521748.93611111_-1193191.76056338",33,32,7,1,4
"14156","-3425262.66388889_-1193191.76056338",31,30,5,0,4
"14157","1206078.40277778_-1193191.76056338",20,20,11,0,9
"14158","1302564.675_-1193191.76056338",28,28,22,3,6
"14159","1399050.94722222_-1193191.76056338",29,29,22,3,7
"14160","1495537.21944444_-1193191.76056338",30,30,22,2,8
"14161","1592023.49166667_-1193191.76056338",33,33,26,2,7
"14162","1688509.76388889_-1193191.76056338",30,30,23,1,7
"14163","1784996.03611111_-1193191.76056338",26,26,20,1,6
"14164","1881482.30833333_-1193191.76056338",27,27,20,1,7
"14165","1977968.58055555_-1193191.76056338",28,28,21,2,7
"14166","2074454.85277778_-1193191.76056338",30,30,22,2,8
"14167","2170941.125_-1193191.76056338",30,30,21,1,9
"14168","2267427.39722222_-1193191.76056338",31,31,22,1,9
"14169","2363913.66944445_-1193191.76056338",35,35,23,1,9
"14170","2460399.94166667_-1193191.76056338",39,39,29,2,7
"14171","2556886.21388889_-1193191.76056338",41,41,31,3,5
"14172","2653372.48611111_-1193191.76056338",42,42,31,3,6
"14173","2749858.75833333_-1193191.76056338",42,42,28,2,8
"14174","2846345.03055555_-1193191.76056338",43,43,31,5,6
"14175","2942831.30277778_-1193191.76056338",43,43,30,5,6
"14176","3039317.575_-1193191.76056338",46,46,29,1,9
"14177","3135803.84722222_-1193191.76056338",49,49,33,2,8
"14178","3232290.11944444_-1193191.76056338",49,49,34,5,7
"14179","3328776.39166667_-1193191.76056338",47,47,32,4,8
"14180","3425262.66388889_-1193191.76056338",45,45,34,5,4
"14181","3521748.93611111_-1193191.76056338",44,44,36,7,2
"14182","3618235.20833333_-1193191.76056338",44,44,36,7,2
"14183","3714721.48055556_-1193191.76056338",44,44,35,6,3
"14184","3811207.75277778_-1193191.76056338",42,42,31,4,6
"14185","4486611.65833334_-1193191.76056338",1,0,1,0,0
"14186","4583097.93055556_-1193191.76056338",1,0,1,0,0
"14187","11240650.7138889_-1193191.76056338",2,1,2,0,0
"14188","11337136.9861111_-1193191.76056338",2,1,2,0,0
"14189","11433623.2583333_-1193191.76056338",1,0,1,0,0
"14190","11530109.5305556_-1193191.76056338",1,0,1,0,0
"14191","11626595.8027778_-1193191.76056338",1,0,1,0,0
"14192","11916054.6194444_-1193191.76056338",1,0,1,0,0
"14193","12012540.8916667_-1193191.76056338",1,0,1,0,0
"14194","12109027.1638889_-1193191.76056338",1,0,1,0,0
"14195","12205513.4361111_-1193191.76056338",1,0,1,0,0
"14196","13556321.2472222_-1193191.76056338",3,2,2,0,0
"14197","13652807.5194444_-1193191.76056338",3,2,2,0,0
"14198","13749293.7916667_-1193191.76056338",3,2,2,0,0
"14199","13845780.0638889_-1193191.76056338",3,2,2,0,0
"14200","14135238.8805556_-1193191.76056338",3,2,3,1,0
"14201","14231725.1527778_-1193191.76056338",7,6,3,1,0
"14202","14328211.425_-1193191.76056338",6,5,3,1,0
"14203","14424697.6972222_-1193191.76056338",6,5,3,1,0
"14204","14521183.9694444_-1193191.76056338",2,1,2,0,0
"14205","14714156.5138889_-1193191.76056338",1,0,1,0,0
"14206","14810642.7861111_-1193191.76056338",1,0,1,0,0
"14207","15389560.4194444_-1193191.76056338",1,0,1,0,0
"14208","15486046.6916667_-1193191.76056338",1,0,1,0,0
"14209","15582532.9638889_-1193191.76056338",1,0,1,0,0
"14210","-7574172.36944444_-1289706.71830986",6,5,5,1,1
"14211","-7477686.09722222_-1289706.71830986",16,15,8,1,3
"14212","-7381199.825_-1289706.71830986",18,17,10,4,2
"14213","-7284713.55277778_-1289706.71830986",32,31,17,8,1
"14214","-7188227.28055556_-1289706.71830986",32,31,16,7,2
"14215","-7091741.00833333_-1289706.71830986",28,27,14,6,0
"14216","-6995254.73611111_-1289706.71830986",28,27,14,6,0
"14217","-6898768.46388889_-1289706.71830986",28,27,14,6,0
"14218","-6802282.19166667_-1289706.71830986",28,27,14,6,0
"14219","-6705795.91944444_-1289706.71830986",29,28,14,6,0
"14220","-6609309.64722222_-1289706.71830986",30,29,14,6,0
"14221","-6512823.375_-1289706.71830986",34,33,14,6,0
"14222","-6416337.10277778_-1289706.71830986",36,35,14,6,0
"14223","-6319850.83055556_-1289706.71830986",37,36,13,5,1
"14224","-6223364.55833333_-1289706.71830986",33,32,12,5,2
"14225","-6126878.28611111_-1289706.71830986",33,32,12,5,2
"14226","-6030392.01388889_-1289706.71830986",35,34,12,5,2
"14227","-5933905.74166667_-1289706.71830986",40,39,12,5,2
"14228","-5837419.46944444_-1289706.71830986",41,40,12,5,3
"14229","-5740933.19722222_-1289706.71830986",41,40,12,5,3
"14230","-5644446.925_-1289706.71830986",45,44,12,5,3
"14231","-5547960.65277778_-1289706.71830986",45,44,12,5,3
"14232","-5451474.38055556_-1289706.71830986",45,44,12,5,3
"14233","-5354988.10833333_-1289706.71830986",47,46,12,5,3
"14234","-5258501.83611111_-1289706.71830986",47,46,12,5,3
"14235","-5162015.56388889_-1289706.71830986",47,46,12,5,3
"14236","-5065529.29166667_-1289706.71830986",48,47,14,6,2
"14237","-4969043.01944445_-1289706.71830986",47,46,13,5,3
"14238","-4872556.74722222_-1289706.71830986",47,46,15,6,1
"14239","-4776070.475_-1289706.71830986",47,46,16,6,0
"14240","-4679584.20277778_-1289706.71830986",47,46,13,4,2
"14241","-4583097.93055556_-1289706.71830986",47,46,14,5,1
"14242","-4486611.65833333_-1289706.71830986",46,45,13,5,1
"14243","-4390125.38611111_-1289706.71830986",46,45,13,4,1
"14244","-4293639.11388889_-1289706.71830986",40,39,12,3,2
"14245","-4197152.84166667_-1289706.71830986",40,39,12,3,2
"14246","-4100666.56944444_-1289706.71830986",38,37,10,3,2
"14247","-4004180.29722222_-1289706.71830986",41,40,7,1,6
"14248","-3907694.025_-1289706.71830986",41,40,7,1,6
"14249","-3811207.75277778_-1289706.71830986",40,39,7,1,5
"14250","-3714721.48055555_-1289706.71830986",39,38,7,1,5
"14251","-3618235.20833333_-1289706.71830986",34,33,7,1,4
"14252","-3521748.93611111_-1289706.71830986",33,32,6,0,4
"14253","-3425262.66388889_-1289706.71830986",30,29,5,0,4
"14254","1302564.675_-1289706.71830986",27,27,21,3,6
"14255","1399050.94722222_-1289706.71830986",28,28,22,3,6
